0515,δειπνοθήρας,n,n-s---mn1a,δειπνοθήρου,,,,,0
76616,π03754,πεζογράφος,n,n-s---mn2-,πεζογράφου,,,,,0
76673,π03803,πείρασις,n,n-s---fn3v,πειρασέως,,,,,0
76620,π03758,πεζολογία,n,n-s---fn1l,πεζολογίας,,,,,0
76621,π03759,πεζολογικῶς,r,----------,,,,,,0
23528,δ01558,διακριτικός,a,aps---mn--,διακριτικός διακριτική διακριτικόν,,,,,0
76623,π03761,πεζομαχέω,v,----------,,,,,,0
76624,π03762,πεζομάχης,n,n-s---mn1e,πεζομάχου,,,,,0
76626,π03764,πεζομάχος,n,----------,,,,,,0
76628,π03766,πεζονόμος,a,aps---cn2-,πεζονόμος πεζονόμος πεζονόμον,,,,,0
76629,π03767,πεζοπορέω,v,----------,,,,,,0
76630,π03768,πεζοπορία,n,n-s---fn1l,πεζοπορίας,,,,,0
76631,π03769,πεζοπόρος,a,aps---cn2-,πεζοπόρος πεζοπόρος πεζοπόρον,,,,,0
76632,π03770,πεζός,a,aps---mn1-,πεζός πεζή πεζόν,,,,,0
76633,π03771,πεζότης,n,n-s---fn3t,πεζότητος,,,,,0
76635,π03773,πεζοφόρος,a,aps---cn2-,πεζοφόρος πεζοφόρος πεζοφόρον,,,,,0
76636,π03671,πεῖ,n,n-s---nn--,,,,,,0
76637,π03670,πεῖ,r,----------,,,,,,0
76638,,Πεῖα,n,n-p---nn2-,Πείων,,,,,0
76639,π03774,πειθανάγκη,n,n-s---fn1e,πειθανάγκης,,,,,0
76640,π03775,πειθαναλογία,n,n-s---fn1l,πειθαναλογίας,,,,,0
76641,π03776,πειθάνιος,n,----------,,,,,,0
76642,π03777,πειθανός,n,----------,,,,,,0
76643,π03778,πειθάνωρ,a,----------,,,,,,0
76644,π03779,πειθαρχέω,v,----------,,,,,,0
76646,π03781,πειθαρχία,n,n-s---fn1l,πειθαρχίας,,,,,0
76648,π03783,πείθαρχος,a,aps---cn2-,πείθαρχος πείθαρχος πείθαρχον,,,,,0
76649,π03784,πειθήμων,a,aps---cn3n,πειθήμων πειθήμων πειθήμον,,,,,0
76650,π03785,πειθήνιος,r,----------,,,,,,0
76652,π03787,πειθός,a,aps---mn1-,πειθός πειθή πειθόν,,,/peː.tʰós/,,0
76653,π03788,πείθω,v,----------,,,,/pěː.tʰɔː/,,0
76654,,Πειθώ,n,n-s---fn3c,Πειθόος,,n-s---fn3c=Πειοῦς,,,0
76655,π03790,πεικαμμαῖς,n,----------,,,,,,0
76656,π04003,πεῖν,n,----------,,,,,,0
76657,π04004,πεῖνα,n,----------,,,,,,0
76658,π03791,πείνα,n,----------,,,,,,0
76659,π03792,πειναλέος,a,aps---mn1-,πειναλέος πειναλέα πειναλέον,,,,,0
76660,π03793,πεινάω,v,----------,,,,/peː.ná.ɔː/,,0
76661,π03794,πεινέω,v,----------,,,,,,0
76662,π03795,πείνη,n,----------,,,,,,0
76663,π03796,πεινητικός,a,aps---mn1-,πεινητικός πεινητική πεινητικόν,,,,,0
76664,π03797,πεινώδης,a,aps---cn3s,πεινώδης πεινώδης πεινώ͂δες,,,,,0
76665,π03798,πεινωλκός,a,aps---cn2-,πεινωλκός πεινωλκός πεινωλκόν,,,,,0
76666,π04394,πεῖρα,n,n-s---fn1s,,,,,,0
76667,π03799,πειρά,n,n-s---fn1l,πειρᾶς,,,,,0
76669,,Πειραιεύς,n,,,,,/peː.rai̯.eú̯s/,,0
76671,π03802,πειραίνω,v,----------,,,,,,0
76678,π03808,πειρατεύω,v,----------,,,,,,0
76679,π03809,πειρατήριον,n,n-s---nn2-,πειρατηρίου,,,,,0
76681,π03811,πειρατής,n,n-s---mn1e,πειρατού,,,,,0
76682,π03812,πειρατικός,a,aps---mn1-,πειρατικός πειρατική πειρατικόν,,,,,0
76684,π03814,πειρήθηξαι,n,----------,,,,,,0
23540,δ01570,διακτενίζω,v,----------,,,,,,0
76686,π03816,πειρητίζω,v,----------,,,,,,0
76687,π03817,πείρινς,n,----------,,,,,,0
76688,π03818,πείρω,v,----------,,,,/pěː.rɔː/,,0
76689,π06083,πεῖσα,n,n-s---fn1s,πείσης,,,/pêː.sa/,,0
76690,π03819,πείσει,n,----------,,,,,,0
76692,π03820,πεισίβροτος,a,aps---cn2-,πεισίβροτος πεισίβροτος πεισίβροτον,,,,,0
76693,π03821,πεισιθάνατος,v,----------,,,,,,0
76694,π03822,πεισίμβροτος,a,aps---cn2-,πεισίμβροτος πεισίμβροτος πεισίμβροτον,,,,,0
76695,π06086,πεῖσις,n,n-s---fn3v,πείσεως,,,,,0
76696,π03823,πεισιχάλινος,v,----------,,,,,,0
76697,π06089,πεῖσμα,n,----------,,,,,,0
76698,π06090,πεῖσμα,n,n-s---nn3t,πείσματος,,,,,0
76699,π03824,πεισματικός,a,aps---mn1-,πεισματικός πεισματική πεισματικόν,,,,,0
76700,π03825,πεισμάτιον,n,n-s---nn2-,πεισματίου,,,,,0
76702,π03827,πεισμονή,n,n-s---fn1e,πεισμονῆς,,,,,0
76703,π03828,πείσομαι,v,v1spid--1-,,,,/pěː.so.mai̯/,,0
76704,π06092,πεῖσος,n,----------,,,,,,0
76705,π03829,πειστέον,v,----------,,,,,,0
76706,π03830,πειστήρ,n,n-s---mn3r,πειστῆρος,,,,,0
76708,π03832,πειστικός,a,aps---mn--,πειστικός πειστική πειστικόν,,,,,0
76709,π03833,πείχισον,n,----------,,,,,,0
76710,π03834,πειώλης,n,n-s---mn1e,πειώλου,,,,,0
76711,π03835,πέκος,n,----------,,,,,,0
76712,π03836,πεκούλιον,n,n-s---nn2-,πεκουλίου,,,,,0
76713,π03837,πέκτειον,n,n-s---nn2-,πεκτείου,,,,,0
76714,π03838,πεκτέω,v,v1spia--2e,,,,/pek.té.ɔː/,,0
76715,π03839,πεκτήρ,n,n-s---mn3r,πεκτῆρος,,,,,0
76716,π03840,πέκω,v,----------,,,,/pé.kɔː/,,0
76718,π03842,πελαγίζω,v,----------,,,,,,0
76719,π03843,πελαγικός,a,aps---mn1-,πελαγικός πελαγική πελαγικόν,,,,,0
76721,π03845,πελαγισμός,n,----------,,,,,,0
76722,π03852,πελαγῖτις,a,----------,,,,,,0
76724,π03847,πελαγοδρόμος,a,aps---cn2-,πελαγοδρόμος πελαγοδρόμος πελαγοδρόμον,,,,,0
76725,π03848,πέλαγος,n,n-s---nn3v,πέλαγεος,,,/pé.la.ɡos/,,0
76726,π03849,πελαγόσδε,r,----------,,,,,,0
76941,π04056,πενόν,n,----------,,,,,,0
76729,π03853,πελάζω,v,----------,,,,,,0
76730,π03854,πελάθω,v,----------,,,,,,0
76731,π03855,πέλαινα,n,----------,,,,,,0
76733,π03857,πελανός,n,----------,,,,,,0
76734,π03858,πελαργάω,v,----------,,,,,,0
76735,π03859,πελαργιδεύς,n,n-s---mn3v,πελαργιδέως,,,,,0
76737,π03863,πελαργῖτις,n,n-s---fn3d,πελαργίτιδος,,,,,0
76738,π03861,πελαργός,n,n-s---mn2-,πελααργοῦ,,,/pe.laːr.ɡós/,,0
76739,π03862,πελαργόχρως,n,n-s---cn3d,πελαργόχρωτος,,,,,0
76740,π03864,πελαργώδης,a,aps---cn3s,πελαργώδης πελαργώδης πελαργώ͂δες,,,,,0
23548,δ01578,διακυβιστάω,v,----------,,,,,,0
76743,,Πελασγιῶται,n,----------,,,,,,0
76744,,Πελασγιῶτις,n,n-s---fn3d,Πελασγιώτιδος,,,/pe.laz.ɡi.ɔ̂ː.tis/,,0
76745,,Πελασγός,n,n-s---mn2-,Πελασγοῦ,,,/pe.laz.ɡós/,,0
76746,π03866,πελασείω,v,----------,,,,,,0
76747,π03867,πέλασις,n,n-s---fn3v,πελασέως,,,,,0
76748,π03868,πελάστατος,n,----------,,,,,,0
76750,π03870,πελάτης,n,n-s---mn1e,πελάτου,,,,,0
76751,π03871,πελατικός,a,aps---mn1-,πελατικός πελατική πελατικόν,,,,,0
76752,π03872,πελάχνιν,n,----------,,,,,,0
76753,π03873,πελάω,v,----------,,,,,,0
76755,π03874,πελέα,n,----------,,,,,,0
76756,π03875,πελεθοβάψ,n,----------,,,,,,0
76757,π03876,πέλεθος,n,n-s---mn2-,πελέθου,,,,,0
76758,π03877,πελέθρισμα,n,n-s---nn3t,πελεθρίσματος,,,,,0
76759,π03878,πέλεθρον,n,n-s---nn2-,πελέθρου,,,,,0
76760,,Πελεθρονιάς,n,n-s---fn3d,Πελεθρονιάδος,,,,,0
76761,π03879,πέλεια,n,n-s---fn1s,πελείας,,,/pé.leː.a/,,0
76762,π03880,πελειάς,n,n-s---fn3d,πελειάδος,,,,,0
76764,π03882,πελείους,n,----------,,,,,,0
76765,π03883,πελεκάν,n,----------,,,,,,0
76767,π03902,πελεκᾶς,n,n-s---mn2c,πελεκᾶ,,,,,0
76768,π03885,πελεκάω,v,----------,,,,,,0
76769,π03886,πελέκημα,n,n-s---nn3t,πελεκήματος,,,,,0
76770,π03887,πελέκησις,n,n-s---fn3v,πελεκησέως,,,,,0
76771,π03888,πελεκητής,n,n-s---mn1e,πελεκητού,,,,,0
76773,π03890,πελεκητρίς,n,----------,,,,,,0
76774,π03891,πελεκήτωρ,n,n-s---mn3r,πελεκήτορος,,,,,0
76775,π03892,πελεκηφόρος,n,n-s---mn2-,πελεκηφόρου,,,,,0
76776,π03893,πελεκίζω,v,----------,,,,,,0
76777,π03894,πελεκινοειδής,a,aps---cn5s,πελεκινοειδής πελεκινοειδής πελεκινοειδές,,,,,0
76778,π03899,πελεκῖνος,n,n-s---mn2-,πελεκίνου,,,,,0
76779,π03895,πελέκιον,n,n-s---nn2-,πελεκίου,,,,,0
76780,π03896,πελεκισμός,n,----------,,,,,,0
76781,π03897,πελέκκησε,n,----------,,,,,,0
76786,π03904,πελεκυνάριον,n,n-s---nn2-,πελεκυναρίου,,,,,0
76787,π03905,πέλεκυς,n,----------,,,,,,0
76788,π03906,πελεκύστερον,n,----------,,,,,,0
76789,π03907,πελεμίζω,v,----------,,,,,,0
76790,π03908,πελένα,n,----------,,,,,,0
76792,π03910,πελιγᾶνες,n,----------,,,,,,0
76793,π03911,πελίγξαι,n,----------,,,,,,0
76795,π03913,πελιδνήεις,a,aps---mn4i,πελιδνήεις πελιδνήεσσα πελιδνήεν,,,,,0
76796,π03914,πελιδνόομαι,v,----------,,,,,,0
76798,π03916,πελιδνότης,n,n-s---fn3t,πελιδνότητος,,,,,0
76799,π03917,πελίδνωμα,n,n-s---nn3t,πελιδνώματος,,,/peˈli.ðno.ma/,,0
76800,π03918,πελίδνωσις,n,n-s---fn3v,πελιδνωσέως,,,,,0
76801,π03919,πελίκη,n,n-s---fn1e,πελίκης,,,,,0
76803,π03921,πελιόομαι,v,----------,,,,,,0
76804,π03922,πελιός,a,aps---mn1-,πελιός πελιά πελιόν,,,,,0
76805,π03923,πελιότης,n,n-s---fn3t,πελιότητος,,,,,0
76807,π03925,πελίχνη,n,n-s---fn1e,πελίχνης,,,,,0
76808,π03926,πελιώδης,a,aps---cn3s,πελιώδης πελιώδης πελιώ͂δες,,,,,0
76809,π03927,πελίωμα,n,n-s---nn3t,πελιώματος,,,,,0
76810,π03928,πελίωσις,n,n-s---fn3v,πελιωσέως,,,,,0
76811,π03929,πέλλα,n,----------,,,,,,0
76812,π03930,πελλαϊκόν,n,----------,,,,,,0
76813,π03933,πελλαῖος,a,aps---mn1-,πελλαῖος πελλαῖα πελλαῖον,,,,,0
76814,π03931,πελλαιχνόν,n,----------,,,,,,0
76815,π03932,πελλαντήρ,n,n-s---mn3r,πελλαντῆρος,,,,,0
76816,π03941,πελλᾶς,n,n-s---mn2c,πελλᾶ,,,,,0
76817,π03934,πελλασταί,r,----------,,,,,,0
76818,π03935,πελλίνιον,n,n-s---nn2-,πελλινίου,,,,,0
76819,π03936,πέλλιξ,n,----------,,,,,,0
76822,π03939,πελλοράφος,a,aps---cn2-,πελλοράφος πελλοράφος πελλοράφον,,,,,0
76823,π03940,πελλός,a,----------,,,,,,0
76824,π03942,πέλλυρον,n,----------,,,,,,0
76825,π03943,πέλλυτρα,n,n-p---nn2-,πελλύτρων,,,,,0
76826,π03944,πέλμα,n,n-s---nn3t,πέλματος,,,/pél.ma/,,0
76827,π03945,πελματίζω,v,----------,,,,,,0
76829,π03947,πέλομαι,v,v1spid--1-,,,,/pé.lo.mai̯/,,0
76830,,Πελοπόννησος,n,,,,,/pe.lo.pón.nɛː.sos/,,0
76831,,Πελοποννήσιοι,n,----------,,,,,,0
76832,,Πελοποννησιακὸς,n,----------,,,,,,0
76834,,Πέλοψ,n,n-s---mn3-,Πέλοπος,,,/pé.lops/,,0
76835,π03948,πελτάζω,v,----------,,,,,,0
76836,π03949,πελτάριον,n,n-s---nn2-,πελταρίου,,,,,0
76840,π03953,πέλτη,n,n-s---fn1e,πέλτης,,,,,0
76841,π03954,πέλτης,n,n-s---mn1e,πέλτου,,,,,0
76842,π03955,πελτίδιον,n,n-s---nn2-,πελτιδίου,,,,,0
76843,π03956,πελτίον,n,n-s---nn2-,πελτίου,,,,,0
76844,π03957,πέλτον,n,n-s---nn2-,πέλτου,,,,,0
76846,π03959,πέλυξ,n,----------,,,,,,0
76847,,Πελυσιών,n,n-s---mn3n,Πελυσιῶνος,,,,,0
76848,π03960,πέλω,v,----------,,,,/pé.lɔː/,,0
76849,π03961,πελώϊος,n,----------,,,,,,0
76850,π03962,πέλωρ,n,----------,,,,,,0
76851,π03963,πελωριάς,n,n-s---fn3d,πελωριάδος,,,,,0
76852,π03964,πελώριος,a,----------,,,,,,0
76853,π03965,πελωρίς,n,n-s---fn3d,πελωρίδος,,,,,0
76854,π03966,πέλωρον,n,n-s---nn2-,πελώρου,,,,,0
76855,π03967,πέλωρος,a,----------,,,,,,0
76857,π03969,πέμμα,n,n-s---nn3t,πέμματος,,,,,0
76859,π03971,πεμματολόγος,a,aps---cn2-,πεμματολόγος πεμματολόγος πεμματολόγον,,,,,0
76860,π03972,πεμματουργός,n,----------,,,,,,0
23554,δ01584,διακυρίττεσθαι,v,----------,,,,,,0
76862,π03973,πεμπαδάρχης,n,n-s---mn1e,πεμπαδάρχου,,,,,0
76864,π03976,πεμπάζω,v,----------,,,,,,0
76865,π03977,πέμπαθλον,n,n-s---nn2-,πεμπάθλου,,,,,0
76866,π03978,πεμπάκι,r,----------,,,,,,0
76867,π03979,πεμπάμερος,a,aps---cn2-,πεμπάμερος πεμπάμερος πεμπάμερον,,,,,0
76868,π03980,πεμπάς,n,n-s---fn3d,πεμπάδος,,,,,0
76869,π03981,πεμπαστής,n,n-s---mn1e,πεμπαστού,,,,,0
76870,π03982,πέμπε,n,----------,,,,,,0
76872,π03984,πέμπελος,a,aps---cn2-,πέμπελος πέμπελος πέμπελον,,,,,0
76873,π03985,πέμποτος,n,----------,,,,,,0
76874,π03986,πεμπταί̈ζω,v,----------,,,,,,0
76876,π03987,πεμπτάκις,r,----------,,,,,,0
76877,π03989,πεμπτάς,n,n-s---fn3d,πεμπτάδος,,,/pemp.tás/,,0
76878,π03990,πεμπτέος,a,aps---mn1-,πεμπτέος πεμπτέα πεμπτέον,,,,,0
76879,π03991,πεμπτημόριον,n,n-s---nn2-,πεμπτημορίου,,,,,0
76880,π03992,πεμπτήρ,n,n-s---mn3r,πεμπτῆρος,,,,,0
76881,π03993,πέμπτος,a,aps---mn1-,πέμπτος πέμπτη πέμπτον,,,,,0
76882,π03994,πεμπτός,a,aps---mn1-,πεμπτός πεμπτή πεμπτόν,,,,,0
76883,π03995,πέμπω,v,----------,,,,/pém.pɔː/,,0
76884,π03996,πεμπώβολον,n,n-s---nn2-,πεμπωβόλου,,,,,0
76885,π03997,πεμφηρίς,n,n-s---fn3d,πεμφηρίδος,,,,,0
76887,π03999,πέμφιξ,n,----------,,,,,,0
76888,π04000,πεμφίς,n,----------,,,,,,0
76889,π04001,πεμφρηδών,n,n-s---fn3n,πεμφρηδόνος,,,,,0
76890,π04002,πέμψις,n,n-s---fn3v,πέμψεως,,,,,0
76891,π04005,πενεστεία,n,n-s---fn1l,πενεστείας,,,,,0
76892,π04006,πενέστερος,n,----------,,,,,,0
76895,π04009,πενέω,v,----------,,,,,,0
76896,π04010,πένης,n,n-s---mn3d,πένητος,,,/pé.nɛːs/,,0
76897,π04012,πένησσα,n,n-s---fn1s,πένησσας,,,,,0
76898,π04013,πενητεύω,v,----------,,,,,,0
76899,π04014,πενητυλίδας,n,n-s---mn1a,πενητυλίδου,,,,,0
76901,π04016,πενθάς,n,n-s---fn3d,πενθάδος,,,,,0
76902,π04017,πένθεια,n,n-s---fn1s,πένθειας,,,,,0
76904,π04019,πενθερά,n,n-s---fn1l,πενθερᾶς,,,,,0
76905,π04020,πενθεριδεύς,n,----------,,,,,,0
76906,π04021,πενθερικός,a,aps---mn1-,πενθερικός πενθερική πενθερικόν,,,,,0
76907,π04022,πενθέριος,a,aps---mn1-,πενθέριος πενθέρια πενθέριον,,,,,0
76909,π04024,πενθερός,n,n-s---mn--,,,,,,0
76910,π04025,πενθεροφθόρος,a,aps---cn2-,πενθεροφθόρος πενθεροφθόρος πενθεροφθόρον,,,,,0
76911,π04026,πενθετηρικός,a,aps---mn1-,πενθετηρικός πενθετηρική πενθετηρικόν,,,,,0
76912,π04027,πενθέτηρος,a,aps---cn2-,πενθέτηρος πενθέτηρος πενθέτηρον,,,,,0
76913,π04028,πενθέω,v,----------,,,,,,0
76914,π04029,πένθημα,n,n-s---nn3t,πενθήματος,,,,,0
76915,π04030,πενθήμεναι,n,----------,,,,,,0
23563,δ01593,διακωμῳδίω,v,----------,,,,,,0
76917,π04032,πενθήμερος,a,aps---cn2-,πενθήμερος πενθήμερος πενθήμερον,,,,,0
76918,π04033,πενθημιαρτάβη,a,----------,,,,,,0
76919,π04034,πενθημίγυον,n,n-s---nn2-,πενθημιγύου,,,,,0
76922,π04037,πενθημισπίθαμος,a,aps---cn2-,πενθημισπίθαμος πενθημισπίθαμος πενθημισπίθαμον,,,,,0
76923,π04038,πενθημιταλαντιαῖος,a,aps---mn1-,πενθημιταλαντιαῖος πενθημιταλαντιαῖα πενθημιταλαντιαῖον,,,,,0
76924,π04039,πενθήμων,a,aps---cn3n,πενθήμων πενθήμων πενθήμον,,,,,0
76925,π04040,πενθήρης,a,aps---cn3s,πενθήρης πενθήρης πενθή͂ρες,,,,,0
76926,π04041,πενθηρός,a,aps---mn1-,πενθηρός πενθηρά πενθηρόν,,,,,0
76927,π04042,πένθησις,n,n-s---fn3v,πενθησέως,,,,,0
76928,π04043,πενθητέον,a,----------,,,,,,0
76929,π04044,πενθητήρ,n,n-s---mn3r,πενθητῆρος,,,,,0
76931,π04046,πενθητικῶς,n,----------,,,,,,0
76932,π04047,πενθικός,a,aps---mn1-,πενθικός πενθική πενθικόν,,,,,0
76933,π04048,πένθιμος,a,aps---cn2-,πένθιμος πένθιμος πένθιμον,,aps---mn1-=πένθιμος aps---fn1-=πένθιμα aps---nn1-=πένθιμον,,,0
76934,π04049,πενθοποιέω,v,----------,,,,,,0
76935,π04050,πένθος,n,n-s---nn3v,πένθεος,,,/pén.tʰos/,,0
76936,π04051,πενία,n,n-s---fn1l,πενίας,,,/pe.ní.aː/,,0
76937,π04052,πενιχραλέος,a,aps---mn1-,πενιχραλέος πενιχραλέα πενιχραλέον,,,,,0
76938,π04053,πενιχρός,a,aps---mn1-,πενιχρός πενιχρά πενιχρόν,,,,,0
76939,π04054,πενιχρότης,n,n-s---fn3t,πενιχρότητος,,,,,0
76940,π04055,πένομαι,v,----------,,,,,,0
76947,π04062,πενταγωνισμός,n,----------,,,,,,0
76948,π04063,πεντάγωνος,a,aps---cn2-,πεντάγωνος πεντάγωνος πεντάγωνον,,,,,0
76949,π04064,πενταδακτυλιαῖος,a,aps---mn1-,πενταδακτυλιαῖος πενταδακτυλιαῖα πενταδακτυλιαῖον,,,,,0
76950,π04065,πενταδάκτυλος,a,aps---cn2-,πενταδάκτυλος πενταδάκτυλος πενταδάκτυλον,,,,,0
76951,π04066,πεντάδαρχος,n,n-s---mn2-,πενταδάρχου,,,,,0
76952,π04067,πεντάδιον,n,n-s---nn2-,πενταδίου,,,,,0
76954,π04070,πεντάδωρος,a,aps---cn2-,πεντάδωρος πεντάδωρος πεντάδωρον,,,,,0
76955,π04072,πεντάεθλος,a,aps---cn2-,πεντάεθλος πεντάεθλος πεντάεθλον,,,,,0
76956,π04073,πεντάειδος,a,aps---cn2-,πεντάειδος πεντάειδος πεντάειδον,,,,,0
76957,π04074,πενταετηρής,a,aps---cn5s,πενταετηρής πενταετηρής πενταετηρές,,,,,0
76958,π04075,πενταετηρία,n,n-s---fn1l,πενταετηρίας,,,,,0
76959,π04076,πενταετηρικός,a,aps---mn1-,πενταετηρικός πενταετηρική πενταετηρικόν,,,,,0
76960,π04077,πενταετηρίς,n,n-s---fn3d,πενταετηρίδος,,,,,0
76961,π04078,πενταέτηρος,a,aps---cn2-,πενταέτηρος πενταέτηρος πενταέτηρον,,,,,0
76963,π04080,πενταετία,n,n-s---fn1l,πενταετίας,,,,,0
76964,π04081,πενταετίζομαι,v,----------,,,,,,0
23569,δ01599,διαλαιμοτομέομαι,v,----------,,,,,,0
76966,π04083,πεντάθετος,a,aps---cn2-,πεντάθετος πεντάθετος πεντάθετον,,,,,0
76967,π04084,πενταθλεύω,v,----------,,,,,,0
76969,π04086,πενταθλία,n,n-s---fn1l,πενταθλίας,,,,,0
76970,π04087,πεντάθλιον,n,----------,,,,,,0
76972,π04088,πένταθλον,n,n-s---nn2-,πεντάθλου,,,,,0
76973,π04089,πένταθλος,n,n-s---mn2-,πεντάθλου,,,,,0
76974,π04090,πένταιχμος,a,aps---cn2-,πένταιχμος πένταιχμος πένταιχμον,,,,,0
76975,π04091,πεντακάτιοι,n,----------,,,,,,0
76976,π04092,πεντακαττίς,n,----------,,,,,,0
76978,π04094,πεντακέφαλος,a,aps---cn2-,πεντακέφαλος πεντακέφαλος πεντακέφαλον,,,,,0
76979,π04095,πεντάκις,r,rp--------,πεντάκις,,,/pen.tá.kis/,,0
76980,π04096,πεντακισμύριοι,n,----------,,,,,,0
76981,π04097,πεντακισχίλιοι,n,n-s---fn3-,,,,,,0
76982,π04068,πεντάδλαδος,a,aps---cn2-,πεντάδλαδος πεντάδλαδος πεντάδλαδον,,,,,0
76983,π04098,πεντακλινικός,a,aps---mn1-,πεντακλινικός πεντακλινική πεντακλινικόν,,,,,0
76984,π04099,πεντάκλινος,a,aps---cn2-,πεντάκλινος πεντάκλινος πεντάκλινον,,,,,0
76985,π04100,πεντάκοινον,n,n-s---nn2-,πεντακοίνου,,,,,0
76987,π04102,πεντακοσιάρχης,n,n-s---mn1e,πεντακοσιάρχου,,,,,0
76992,π04107,πεντακοσιοστός,a,aps---mn1-,πεντακοσιοστός πεντακοσιοστή πεντακοσιοστόν,,,,,0
76993,π04108,πεντακοσιοστύς,n,n-s---fn3v,πεντακοσιοστύος,,,,,0
76994,π04109,πεντακυμία,n,n-s---fn1l,πεντακυμίας,,,,,0
76995,π04110,πεντάκωπος,a,aps---cn2-,πεντάκωπος πεντάκωπος πεντάκωπον,,,,,0
76997,λ01425,λιθα,n,----------,,,,,,0
76998,π04112,πεντάλιτρος,a,aps---cn2-,πεντάλιτρος πεντάλιτρος πεντάλιτρον,,,,,0
76999,π04113,πενταλκία,n,n-s---fn1l,πενταλκίας,,,,,0
77000,π04114,πένταλφα,n,----------,,,,,,0
77001,π04115,πενταμαριτεύω,v,----------,,,,,,0
77002,π04116,πενταμερής,a,aps---cn5s,πενταμερής πενταμερής πενταμερές,,,,,0
77003,π04117,πεντάμεροι,n,n-p---mn2-,πενταμέρων,,,,,0
77004,π04118,πεντάμετρος,a,aps---cn2-,πεντάμετρος πεντάμετρος πεντάμετρον,,,,,0
77005,π04119,πενταμηνιαῖος,a,aps---mn1-,πενταμηνιαῖος πενταμηνιαῖα πενταμηνιαῖον,,,,,0
77006,π04120,πεντάμηνος,a,aps---cn2-,πεντάμηνος πεντάμηνος πεντάμηνον,,,,,0
77008,π04122,πεντάμνους,n,----------,,,,,,0
77009,π04123,πενταμοδιαῖος,a,aps---mn1-,πενταμοδιαῖος πενταμοδιαῖα πενταμοδιαῖον,,,,,0
77010,π04124,πενταμοιρία,n,n-s---fn1l,πενταμοιρίας,,,,,0
77011,π04125,πενταμοιριαῖος,a,aps---mn1-,πενταμοιριαῖος πενταμοιριαῖα πενταμοιριαῖον,,,,,0
77012,π04126,πεντάμοιρον,n,----------,,,,,,0
77013,π04127,πεντάμορφος,a,aps---cn2-,πεντάμορφος πεντάμορφος πεντάμορφον,,,,,0
23582,δ01612,διάλαυρος,n,----------,,,,,,0
77015,π04129,πενταναί̈α,n,n-s---fn1l,πενταναί̈ας,,,,,0
77017,π04131,πενταξεστιαῖον,n,n-s---nn2-,πενταξεστιαίου,,,,,0
77018,π04132,πενταξός,a,aps---mn1-,πενταξός πενταξή πενταξόν,,,,,0
77019,π04133,πεντάοζος,a,aps---cn2-,πεντάοζος πεντάοζος πεντάοζον,,,,,0
77020,π04134,πενταούγκιον,n,n-s---nn2-,πενταουγκίου,,,,,0
77023,π04137,πεντάπεδος,a,aps---cn2-,πεντάπεδος πεντάπεδος πεντάπεδον,,,,,0
77024,π04138,πενταπέταλον,n,n-s---nn2-,πενταπετάλου,,,,,0
77025,π04139,πενταπετές,n,----------,,,,,,0
77026,π04140,πενταπέτηλον,n,n-s---nn2-,πενταπετήλου,,,,,0
77027,π04141,πενταπήχης,a,----------,,,,,,0
77028,π04142,πενταπλασιάζομαι,v,----------,,,,,,0
77030,π04144,πενταπλασιεπιτέταρτος,a,aps---cn2-,πενταπλασιεπιτέταρτος πενταπλασιεπιτέταρτος πενταπλασιεπιτέταρτον,,,,,0
77307,π04424,περάτη,n,n-s---fn1e,περάτης,,,,,0
77033,π04147,πενταπλάσιος,a,aps---mn1-,πενταπλάσιος πενταπλάσια πενταπλάσιον,,,,,0
77034,π04148,πενταπλασιότης,n,n-s---fn3t,πενταπλασιότητος,,,,,0
77035,π04149,πενταπλασίων,a,aps---cn3n,πενταπλασίων πενταπλασίων πενταπλασίον,,,,,0
77036,π04150,πεντάπλεθρος,a,aps---cn2-,πεντάπλεθρος πεντάπλεθρος πεντάπλεθρον,,,,,0
77037,π04151,πεντάπλευρον,n,n-s---nn2-,πενταπλεύρου,,,,,0
77038,π04152,πενταπλήσιος,n,----------,,,,,,0
77039,π04153,πεντάπλοκος,a,aps---cn2-,πεντάπλοκος πεντάπλοκος πεντάπλοκον,,,,,0
77040,π04154,πενταπλόος,a,aps---mn1-,πενταπλόος πενταπλόα πενταπλόον,,,,,0
77041,π04155,πεντάπολις,n,----------,,,,,,0
77042,π04156,πεντάπορος,a,aps---cn2-,πεντάπορος πεντάπορος πεντάπορον,,,,,0
77043,π04157,πεντάπους,n,----------,,,,,,0
77044,π04158,πενταπρωτεία,n,n-s---fn1l,πενταπρωτείας,,,,,0
77045,π04159,πεντάπτωτος,a,aps---cn2-,πεντάπτωτος πεντάπτωτος πεντάπτωτον,,,,,0
77047,π04161,πεντάρουρος,n,n-s---mn2-,πενταρούρου,,,,,0
77049,π04163,πεντάρραγος,a,aps---cn2-,πεντάρραγος πεντάρραγος πεντάρραγον,,,,,0
77050,π04164,πενταρταβία,n,n-s---fn1l,πενταρταβίας,,,,,0
77051,π04165,πενταρταβιαῖος,a,aps---cn2-,πενταρταβιαῖος πενταρταβιαῖος πενταρταβιαῖον,,,,,0
77052,π04166,πενταρχία,n,n-s---fn1l,πενταρχίας,,,,,0
77053,π04167,πεντάς,n,n-s---fn3d,πεντάδος,,,,,0
77054,π04168,πεντάσημος,a,aps---cn2-,πεντάσημος πεντάσημος πεντάσημον,,,,,0
