5011,συμμέτριος,a,aps---cn2-,συμμέτριος συμμέτριος συμμέτριον,,,,,0
94724,σ05468,σύμπυκνος,a,aps---cn2-,σύμπυκνος σύμπυκνος σύμπυκνον,,,,,0
94725,σ05469,συμπυκνόω,v,----------,,,,,,0
94726,σ05470,συμπυνθάνομαι,v,----------,,,,,,0
94727,σ05471,συμπυριάω,v,----------,,,,,,0
94729,σ05473,συμπυρπολέω,v,----------,,,,,,0
94730,σ05474,συμπωλέω,v,----------,,,,,,0
94731,σ05475,συμπωρόομαι,v,----------,,,,,,0
94732,σ05476,συμφάγῃ,n,----------,,,,,,0
94733,σ05477,συμφαίνομαι,v,----------,,,,,,0
94680,σ05424,συμπροίημι,v,----------,,,,,,0
94737,σ05481,συμφαντάζομαι,v,----------,,,,,,0
94738,σ05482,συμφαντικός,n,----------,,,,,,0
94739,σ05483,σύμφασις,n,n-s---fn3v,συμφασέως,,,,,0
94740,σ05484,συμφάσκω,v,----------,,,,,,0
94742,σ05486,συμφερόντως,r,----------,,,,,,0
94743,σ05487,συμφερτός,a,aps---mn1-,συμφερτός συμφερτή συμφερτόν,,,,,0
94744,σ05488,συμφέρω,v,----------,,,,/sym.pʰé.rɔː/,,0
94746,σ05490,συμφεύγω,v,----------,,,,,,0
94747,σ05491,σύμφημι,v,----------,,,,,,0
94748,σ05492,συμφθάνω,v,----------,,,,,,0
94750,σ05494,συμφθέγγομαι,v,----------,,,,,,0
94751,σ05495,συμφθείρω,v,----------,,,,,,0
94752,σ05496,συμφθίνω,v,----------,,,,,,0
94754,σ05498,συμφιβλόομαι,v,----------,,,,,,0
94755,σ05499,συμφιλέω,v,----------,,,,,,0
94756,σ05500,συμφιλία,n,n-s---fn1l,συμφιλίας,,,,,0
94757,σ05501,συμφιλοδοξέω,v,----------,,,,,,0
94758,σ05502,συμφιλοκαλέω,v,----------,,,,,,0
94759,σ05503,συμφιλολογέω,v,----------,,,,,,0
94760,σ05504,συμφιλομαθέω,v,----------,,,,,,0
94761,σ05505,συμφιλονικέω,v,----------,,,,,,0
94762,σ05506,συμφιλοσοφέω,v,----------,,,,,,0
94763,σ05507,συμφιλοτιμέομαι,v,----------,,,,,,0
