,65203,47957,,,
1560874,65312,85664,,,
1560875,65312,87706,,,
1560876,65312,89363,,,
1560878,65312,80913,,,
1560879,65312,86544,,,
1560880,65312,72199,,,
1560881,65312,81152,,,
1560882,65313,66271,,,
1560883,65313,44286,,,
1560885,65313,90678,,,
1560886,65313,42483,,,
1560887,65313,45166,,,
1560888,65313,96114,,,
1560889,65313,96113,,,
1560890,65313,96081,,,
1560892,65313,88750,,,
1560893,65313,96206,,,
1560894,65313,99564,,,
1560895,65313,45035,,,
1560896,65313,45034,,,
1560897,65313,45033,,,
1560899,65324,72281,,,
1560900,65324,77906,,,
1560901,65324,66547,,,
1560902,65324,66326,,,
1560903,65324,66548,,,
1560904,65324,66324,,,
1560906,65324,76370,,,
1560907,65324,70961,,,
1560908,65324,77904,,,
1560909,65324,75727,,,
1560910,65324,75725,,,
1560911,65324,75306,,,
1560913,65324,75722,,,
1560914,65324,78025,,,
1560915,65324,73638,,,
1560916,65324,69284,,,
1560918,65324,75840,,,
1560919,65324,77504,,,
1560920,65327,87992,,,
1560922,65327,1647,,,
1560923,65327,96782,,,
1560924,65327,96781,,,
1560925,65327,97259,,,
1560926,65277,45488,,,
