@,24976,24968
39256,%p,25410,26626
39257,@,25411,25410
39258,@,25412,25410
39259,@,25413,25410
39260,@,25414,25327
39261,@,25415,25327
39262,@,25416,25417
39263,%p,25416,26144
39264,@,25417,25451
39265,@,25418,25201
39266,%p,25418,25415
39267,%p,25418,25443
39268,%p,25418,25444
39269,@,25419,25415
39270,%p,25420,26146
39271,@,25421,25420
39272,@,25422,25420
39273,@,25423,25422
39274,@,25424,25422
39275,@,25425,25422
39276,@,25426,25422
39277,@,25427,25420
39278,@,25428,25427
39279,@,25429,25427
39280,@,25430,25427
39281,@,25431,25427
39282,@,25432,25420
39283,@,25433,25416
39284,@,25434,25433
39285,@,25435,25433
39286,@,25436,25420
39287,@,25437,25436
39288,@,25439,25420
39289,@,25369,25337
39290,@,25442,25327
39291,@,25442,56362
39292,@,25443,25406
39293,@,25444,25406
39294,%s,25444,25407
39295,@,25445,25420
39296,@,25446,25201
39297,%p,25446,26683
39298,@,25448,26153
39299,@,25449,25448
39300,@,25450,25449
39301,@,25451,25162
39302,%p,25451,26265
39303,@,25452,25451
39304,@,25453,25451
39305,@,25454,25451
39306,@,25455,25451
39307,@,25456,25451
39308,@,25457,25456
39309,@,25458,25451
39310,%p,25458,26190
39311,@,25459,25458
39312,@,25460,25458
39313,@,25461,25458
39314,@,25462,25458
39315,@,25463,25201
39316,%p,25463,26204
39317,@,25464,25463
39318,%p,25464,25465
39319,%p,25464,25547
39320,%p,25464,26211
39321,@,25465,25153
39322,%p,25465,25549
39323,%p,25465,25558
39324,%p,25465,25564
39325,@,25466,25463
39326,%p,25466,25510
39327,%p,25466,26205
39328,@,25467,25451
39329,%p,25467,25481
39330,@,25468,25483
39331,@,25469,26399
39332,%p,25469,25481
39333,@,25470,25253
39334,%p,25470,25676
39335,%p,25470,25801
39336,@,25471,25473
39337,@,25472,25253
39338,@,25473,25476
39339,%p,25473,25389
39340,%p,25473,25467
39341,%p,25473,25474
39342,%p,25473,25480
39343,%p,25473,25506
39344,%p,25473,26409
39345,@,25474,25476
39346,@,25475,25253
39347,@,25476,25176
39348,@,25477,25476
39349,@,25478,25476
39350,@,25479,25478
39351,@,25480,25327
39352,%p,25481,25482
39353,@,25482,25220
39354,@,25483,25451
39355,@,25484,25174
39356,%p,25484,25669
39357,%p,25484,25793
39358,@,25485,25389
39359,@,25486,25485
39360,@,25487,25389
39361,@,25488,25389
39362,@,25489,25389
39363,@,25490,25389
39364,@,25491,25389
39365,@,25492,60116
39366,@,25493,25389
39367,@,25494,25389
39368,@,25495,25494
39369,@,25496,39659
39370,@,25497,25176
39371,%p,25497,25500
39372,@,25498,25247
39373,@,25499,25318
39374,@,25500,25318
39375,@,25501,25925
39376,@,25502,25409
39377,@,25503,25894
39378,@,25504,25894
39379,%p,25504,25503
39380,@,25505,39648
39381,@,25506,39648
39382,%p,25506,25481
39383,%p,25506,25504
39384,%p,25506,25505
39385,@,25507,26182
39386,@,25508,26182
39387,@,25509,26182
39388,%p,25509,25595
39389,@,25441,25440
39390,%p,25510,25519
39391,%p,25510,25522
39392,%p,25510,25525
39393,%p,25510,25527
39394,%p,25510,25528
39395,%p,25510,25535
39396,%p,25510,25538
39397,%p,25510,25539
39398,%p,25510,25544
39399,%p,25510,25546
39400,%p,25510,25587
39401,%p,25510,25588
39402,%p,25510,25589
39403,%p,25510,25624
39404,%p,25510,25634
39405,%p,25510,25673
39406,%p,25510,25798
39407,%p,25510,26586
39408,@,25511,25510
39409,@,25512,25510
39410,@,25513,26019
39411,@,25514,26019
39412,@,25515,26019
39413,@,25516,25273
39414,%p,25516,26007
39415,@,25517,25894
39416,%p,25518,25524
39417,%p,25518,25525
39418,@,25519,39172
39419,@,25520,25519
39420,@,25521,25519
39421,@,25522,25517
39422,@,25523,25522
39423,@,25524,25273
39424,@,25525,26032
39425,@,25526,25525
39426,@,25527,25534
39427,@,25528,25416
39428,@,25529,25528
39429,@,25530,25416
39430,@,25531,25528
39431,@,25532,25528
39432,@,25533,25528
39433,@,25534,25176
39434,@,25536,25525
39435,@,25537,25535
39436,@,25538,26019
39437,@,25539,25176
39438,@,25540,25927
39439,@,25541,25927
39440,@,25542,26019
39441,%p,25542,25543
39442,@,25543,41357
39443,@,25544,25451
39444,%p,25544,25545
39445,@,25545,26019
39446,@,25546,26019
39447,%p,25546,26124
39448,%p,25546,26125
39449,%p,25546,26126
39450,%p,25546,26127
39451,%p,25546,26128
39452,@,25547,25458
39453,%p,25547,25479
39454,%p,25547,25548
39455,%p,25547,25561
39456,%p,25547,25566
39457,%p,25547,25612
39458,@,25548,25458
39459,@,25549,25458
39460,%p,25549,25550
39461,%p,25549,25551
39462,%p,25549,25556
39463,%p,25549,25571
39464,%p,25549,25672
39465,%p,25549,25797
39466,@,25550,25176
39467,%p,25550,25552
39468,%p,25550,25553
39469,@,25551,25176
39470,@,25553,26336
39471,@,25554,25548
39472,%p,25554,25222
39473,@,25555,25463
