5,n,9,Ethiopia is a republic in northeastern Africa formerly called Abyssinia,
40149,06476773,n,9,the French-speaking capital of the province of Quebec; situated on the Saint Lawrence River,
40150,06476988,n,9,a city in southern Quebec province on the Saint Lawrence River; the largest city in Quebec and 2nd largest in Canada; the 2nd largest French-speaking city in the world,
40151,06477229,n,9,one of the three prairie provinces in west central Canada; 'vast fields of wheat grow on Saskatchewan's prairies',
40152,06477458,n,9,the provincial capital and largest city of Saskatchewan,
40153,06477585,n,9,a city is S Saskatchewan,
40154,06477684,n,9,a territory in northwestern Canada; site of the Klondike gold rush in the 1890s,
40155,06477928,n,9,a region in northwestern Canada where gold was discoveredin 1896 but exhausted by 1910,
40156,06478088,n,9,the provincial capital of the Yukon Territory,
40157,06478209,n,9,"a nation occupying the whole of the Australian continent; aboriginal tribes are thought to have migrated from southeastern Asia 20,000 years ago; first Europeans were British convicts sent there as a penal colony",
40158,06478714,n,9,the capital of Australia; located in southeastern Australia,
40160,06479121,n,9,a state in northeastern Australia,
40162,06479501,n,9,an Australian state in southeastern Australia,
40163,06479646,n,9,the largest Australian city located in southeastern Australia; state capital of New South Wales; Australia's chief port,
40164,06479856,n,9,a state in southeastern Australia,
40165,06479982,n,9,the capital of Victoria state and 2nd largest Australian city; a financial and commercial center,
40166,06480153,n,9,an island off the southeastern coast of Australia,
40167,06480276,n,9,an Australian state on the island of Tasmania,
40168,06480414,n,9,a port and state capital of Tasmania,
40169,06480522,n,9,a state in south central Australia,
40170,06480656,n,9,the state capital of South Australia,
40171,06480766,n,9,a state containing the western third of Australia,
40172,06480917,n,9,the state capital of Western Australia,
40173,06481026,n,9,a territory in north central Australia,
40174,06481167,n,9,provincial capital of the Northern Territory of Australia,
40175,06481296,n,9,an archipelago in the North Pacific extending southwestern from Alaska,
40176,06481479,n,9,a large group of islands in the south Pacific including Melanesia and Micronesia and Polynesia (and sometimes Australasia and the Malay Archipelago),
40177,06481768,n,9,"Australia, New Zealand, and neighboring islands in the S Pacific",
40178,06481909,n,9,islands of central and S Pacific (Indonesia and Melanesia and Micronesia and Polynesia),
