,73143,,,
1635789,70698,16622,,,
1635790,70698,19937,,,
1635792,70698,11602,,,
1635793,70698,20303,,,
1635794,70698,20304,,,
1635795,70698,16206,,,
1635796,70698,20302,,,
1635797,70698,20301,,,
1635799,70698,48689,,,
1635800,70698,20784,,,
1635801,70698,26671,,,
1635802,70698,52368,,,
1635803,70698,1040,,,
1635804,70698,52367,,,
1635806,70698,31105,,,
1635807,70665,74358,,,
1635808,70665,66548,,,
1635809,70665,66547,,,
1635810,70665,75248,,,
1635811,70665,75247,,,
1635813,70665,66282,,,
1635814,70665,78056,,,
1635815,70665,72167,,,
1635816,70665,69349,,,
1635818,70665,70751,,,
1635819,70665,72159,,,
1635820,70665,72158,,,
1635822,70665,77270,,,
1635823,70665,72149,,,
1635824,70665,77906,,,
1635825,70665,77904,,,
1635826,70665,76370,,,
1635827,70665,75727,,,
1635829,70665,73167,,,
1635830,70665,75725,,,
1635831,70665,75595,,,
1635832,70665,75722,,,
1635833,70665,78025,,,
1635834,70665,75840,,,
1635836,70665,69440,,,
1635837,70665,71231,,,
1635838,70665,66366,,,
1635839,70665,68669,,,
1635840,70665,67003,,,
1635841,70665,70713,,,
1635843,70665,74546,,,
1635844,70665,70961,,,
1635845,70665,71469,,,
1635846,70665,71468,,,
1635847,70665,70699,,,
1635848,70665,75306,,,
1635850,70665,69284,,,
1635851,70665,77092,,,
1635852,70665,70684,,,
1635853,70665,72852,,,
1635854,70665,76435,,,
1635855,70665,66326,,,
1635857,70665,68751,,,
1635858,70665,75537,,,
1635859,70665,70802,,,
1635860,70665,73743,,,
1635861,70665,70672,,,
1635862,70665,77071,,,
1635864,70665,73610,,,
1635865,70665,75400,,,
1635866,70665,71943,,,
1635867,70665,74243,,,
1635868,70665,74241,,,
1635869,70665,77056,,,
1635871,70680,53734,,,
1635872,70680,53027,,,
1635873,70680,56314,,,
1635874,70680,14168,,,
1635875,70636,51156,,,
1635876,70669,36615,,,
1635878,70693,24187,,,
1635879,70693,37041,,,
1635880,70693,24400,,,
1635881,70693,27175,,,
1635882,70693,27174,,,
1635883,70693,22624,,,
1635885,70672,64512,,,
1635886,70673,71231,,,
1635887,70673,70751,,,
1635888,70673,77067,,,
1635889,70673,72167,,,
1635890,70673,71943,,,
1635892,70681,91574,,,
1635893,70681,91569,,,
1635894,70681,88400,,,
1635895,70697,36479,,,
1635896,70697,24029,,,
1635897,70697,24187,,,
1635899,70697,37041,,,
1635900,70697,36879,,,
1635901,70697,65038,,,
1635902,70697,36923,,,
1635903,70697,44039,,,
1635904,70697,44230,,,
1635906,70697,44354,,,
1635907,70678,69119,,,
1635908,70678,77307,,,
1635909,70678,67577,,,
1635910,70678,66545,,,
1635911,70678,67562,,,
1635913,70678,72167,,,
1635914,70678,73699,,,
1635915,70678,72151,,,
1635916,70678,66512,,,
1635917,70678,77264,,,
1635918,70678,71112,,,
1635920,70678,73157,,,
1635921,70678,72131,,,
1635922,70678,69566,,,
1635923,70678,73148,,,
1635925,70678,72122,,,
1635926,70678,76217,,,
1635927,70678,73143,,,
1635929,70678,76210,,,
1635930,70678,74672,,,
1635931,70678,69551,,,
1635932,70678,74670,,,
1635933,70678,76201,,,
1635934,70678,68007,,,
1635936,70678,69537,,,
1635937,70678,77215,,,
1635938,70678,68510,,,
1635939,70678,68509,,,
1635940,70678,74649,,,
1635941,70678,75160,,,
1635943,70678,68482,,,
1635944,70678,72065,,,
1635945,70678,77691,,,
1635946,70678,68975,,,
1635947,70678,68974,,,
1635948,70678,66924,,,
1635950,70678,72552,,,
1635951,70678,68450,,,
1635952,70678,68949,,,
1635953,70678,77651,,,
1635954,70678,70994,,,
1635955,70678,68945,,,
1635957,70678,73030,,,
1635958,70678,68418,,,
1635959,70678,66361,,,
1635960,70678,66355,,,
1635961,70678,71984,,,
1635962,70678,71983,,,
1635964,70678,74022,,,
1635965,70678,76069,,,
1635966,70678,66852,,,
