,ἀτρύμων,a,aps---cn3n,ἀτρύμων ἀτρύμων ἀτρύμον,ἀτρύμων,0
16558,,Αὐξώ,n,n-s---fn3c,Αὐξοῦς,Αὐξώ,0
16559,α00609,αὔξω,v,----------,,αὔξω,0
16561,α00647,αὐονή,n,----------,,αὐονή,0
16562,α00646,αὐονή,n,n-s---fn1e,αὐονῆς,αὐονή,0
16563,α00650,αὖος,a,----------,,αὖος,0
16564,α00651,αὐότης,n,n-s---fn3t,αὐότητος,αὐότης,0
16565,α16846,ἀϋπνέω,v,----------,,ἀϋπνέω,0
16512,α00382,αὐλουρός,n,----------,,αὐλουρός,0
16570,α00690,αὔρηκτος,a,----------,,αὔρηκτος,0
16571,α00692,αὖρι,n,----------,,αὖρι,0
16572,α00693,αὐριβάτης,n,n-s---mn1e,αὐριβάτου,αὐριβάτης,0
16574,α00695,αὐρίζω,v,----------,,αὐρίζω,0
16575,α00697,αὐρινός,a,aps---mn1-,αὐρινός αὐρινή αὐρινόν,αὐρινός,0
16576,α00698,αὔριον,r,rp--------,αὔριον,αὔριον,0
16577,α00701,αὐροσχάς,n,n-s---fn3d,αὐροσχάδος,αὐροσχάς,0
16578,α00702,αὐροφόρητος,a,aps---cn2-,αὐροφόρητος αὐροφόρητος αὐροφόρητον,αὐροφόρητος,0
16579,α00708,αὐσαυτοῦ,n,----------,,αὐσαυτοῦ,0
16580,α00726,αὔσιος,n,----------,,αὔσιος,0
16581,α00728,αὖσις,n,n-s---fn3v,αὔσεως,αὖσις,0
16582,,Αὐσονία,n,,,Αὐσονία,0
16583,α00733,αὐσταλέος,a,aps---mn1-,αὐσταλέος αὐσταλέα αὐσταλέον,αὐσταλέος,0
16584,α00734,αὐστηρία,n,n-s---fn1l,αὐστηρίας,αὐστηρία,0
16586,α00736,αὐστηρός,a,aps---mn1-,,αὐστηρός,0
16587,α00737,αὐστηρότης,n,n-s---fn3t,αὐστηρότητος,αὐστηρότης,0
16588,α00796,αὐτάγγελος,n,n-s---mn2-,αὐταγγέλου,αὐτάγγελος,0
16589,α00797,αὐτάγητος,a,----------,,αὐτάγητος,0
16592,α00800,αὐτάγρευτος,a,aps---cn2-,αὐτάγρευτος αὐτάγρευτος αὐτάγρευτον,αὐτάγρευτος,0
16593,α00801,αὐτάδελφος,a,aps---mn1-,αὐτάδελφος αὐταδέλφη αὐτάδελφον,αὐτάδελφος,0
16595,α00803,αὐταμαρόν,n,----------,,αὐταμαρόν,0
16596,α00804,αὐτανδρί,r,----------,,αὐτανδρί,0
16597,α00805,αὔτανδρος,a,aps---cn2-,αὔτανδρος αὔτανδρος αὔτανδρον,αὔτανδρος,0
16598,α00806,αὐτανέψιος,n,n-s---mn2-,αὐτανεψίου,αὐτανέψιος,0
16599,α00807,αὐτάρ,c,----------,,αὐτάρ,0
16600,α00808,αὐταρέσκεια,n,n-s---fn1s,αὐταρέσκειας,αὐταρέσκεια,0
