id,uri,lemma,pos,morpho,principal_parts,prosody,validated
5568,α06198,ἀμφίπλεκτος,a,aps---cn2-,ἀμφίπλεκτος ἀμφίπλεκτος ἀμφίπλεκτον,ἀμφίπλεκτος,0
9479,α10091,ἀντιλημματίζω,v,----------,,ἀντιλημματίζω,0
9483,α10095,ἀντιληπτικός,a,aps---mn1-,ἀντιληπτικός ἀντιληπτική ἀντιληπτικόν,ἀντιληπτικός,0
9510,α10122,ἀντιμαρτύρησις,n,n-s---fn3v,ἀντιμαρτυρησέως,ἀντιμαρτύρησις,0
9529,α10141,ἀντιμεσουράνησις,n,n-s---fn3v,ἀντιμεσουρανησέως,ἀντιμεσουράνησις,0
9531,α10143,ἀντιμεταβάλλω,v,----------,,ἀντιμεταβάλλω,0
9581,α10194,ἀντίμορφος,a,aps---cn2-,ἀντίμορφος ἀντίμορφος ἀντίμορφον,ἀντίμορφος,0
9592,α10203,ἀντινομία,n,n-s---fn1l,ἀντινομίας,ἀντινομία,0
9602,α10213,ἀντίξοος,a,aps---cn2-,ἀντίξοος ἀντίξοος ἀντίξοον,ἀντίξοος,0
9634,α10246,ἀντιπαραγγελία,n,n-s---fn1l,ἀντιπαραγγελίας,ἀντιπαραγγελία,0
9635,α10247,ἀντιπαραγγέλλω,v,----------,,ἀντιπαραγγέλλω,0
9650,α10262,ἀντιπαράκλησις,n,n-s---fn3v,ἀντιπαρακλησέως,ἀντιπαράκλησις,0
9671,α10284,ἀντιπαρεισαγωγή,n,n-s---fn1e,ἀντιπαρεισαγωγῆς,ἀντιπαρεισαγωγή,0
9686,α10299,ἀντιπαρονομάζομαι,v,----------,,ἀντιπαρονομάζομαι,0
9717,α10329,ἀντιπεριποιητικός,a,aps---mn1-,ἀντιπεριποιητικός ἀντιπεριποιητική ἀντιπεριποιητικόν,ἀντιπεριποιητικός,0
9737,α10349,ἀντιπλάδη,n,n-s---fn1e,ἀντιπλάδης,ἀντιπλάδη,0
9741,α10353,ἀντίπλευρος,a,aps---cn2-,ἀντίπλευρος ἀντίπλευρος ἀντίπλευρον,ἀντίπλευρος,0
9772,α10384,ἀντίπορθμος,a,aps---cn2-,ἀντίπορθμος ἀντίπορθμος ἀντίπορθμον,ἀντίπορθμος,0
9788,α10400,ἀντιπρόειμι,v,----------,,ἀντιπρόειμι,0
9804,α10415,ἀντιπροσελαύνω,v,----------,,ἀντιπροσελαύνω,0
9839,α10451,ἀντίρροπος,a,aps---cn2-,ἀντίρροπος ἀντίρροπος ἀντίρροπον,ἀντίρροπος,0
9845,α10458,ἀντίσηκος,a,aps---cn2-,ἀντίσηκος ἀντίσηκος ἀντίσηκον,ἀντίσηκος,0
9889,α10500,ἀντιστατέον,v,----------,,ἀντιστατέον,0
9891,α10502,ἀντιστάτης,n,n-s---mn1e,ἀντιστάτου,ἀντιστάτης,0
