8,ὑλονόμος,a,aps---cn2-,ὑλονόμος ὑλονόμος ὑλονόμον,,,,,0
1568,α02920,ἀεξίνοος,a,aps---cn2-,ἀεξίνοος ἀεξίνοος ἀεξίνοον,,ἀεξίνους ἀεξίνους ἀεξίνουν,,,0
1583,α02934,ἀέρινος,a,aps---mn1-,ἀέρινος ἀερίνη ἀέρινον,,,/aː.é.ri.nos/,,0
1593,α02943,ἀεροδόνητος,a,aps---cn2-,ἀεροδόνητος ἀεροδόνητος ἀεροδόνητον,,,,,0
1606,α02956,ἀερομέτρητος,a,aps---cn2-,ἀερομέτρητος ἀερομέτρητος ἀερομέτρητον,,,,,0
1621,α02971,ἀερότονος,a,aps---cn2-,ἀερότονος ἀερότονος ἀερότονον,,,,,0
1637,α02988,ἀερσιπότητος,a,aps---cn2-,ἀερσιπότητος ἀερσιπότητος ἀερσιπότητον,,,,,0
1652,α03003,ἀετογενής,a,aps---cn5s,ἀετογενής ἀετογενής ἀετογενές,,,,,0
1669,α03017,ἄζεστος,a,aps---cn2-,ἄζεστος ἄζεστος ἄζεστον,,,,,0
1675,α03023,ἀζηλοτύπητος,a,aps---cn2-,ἀζηλοτύπητος ἀζηλοτύπητος ἀζηλοτύπητον,,,,,0
1688,α03034,ἀζυγής,a,aps---cn5s,ἀζυγής ἀζυγής ἀζυγές,,,,,0
1705,α03051,ἀηδισμός,n,----------,,,,,,0
1711,α03057,ἀήδονος,a,aps---cn2-,ἀήδονος ἀήδονος ἀήδονον,,,,,0
1725,α03071,ἀήσσητος,a,aps---cn2-,ἀήσσητος ἀήσσητος ἀήσσητον,,,,,0
1735,α03082,ἀθαλάσσευτος,a,aps---cn2-,ἀθαλάσσευτος ἀθαλάσσευτος ἀθαλάσσευτον,,,,,0
1752,α03098,ἄθαπτος,a,aps---cn2-,ἄθαπτος ἄθαπτος ἄθαπτον,,,,,0
1764,α03110,ἀθείαστος,a,aps---cn2-,ἀθείαστος ἀθείαστος ἀθείαστον,,,,,0
1774,α03120,ἀθελξίνοος,a,aps---cn2-,ἀθελξίνοος ἀθελξίνοος ἀθελξίνοον,,,,,0
1798,α03145,ἀθέριστος,a,aps---cn2-,ἀθέριστος ἀθέριστος ἀθέριστον,,,,,0
1806,α03153,ἀθέσμιος,a,aps---cn2-,ἀθέσμιος ἀθέσμιος ἀθέσμιον,,,,,0
1818,α03165,ἀθέτητος,a,aps---cn2-,ἀθέτητος ἀθέτητος ἀθέτητον,,,,,0
1832,,Ἀθήναια,n,n-p---nn2-,Ἀθηναίων,,,,,0
1851,α03190,ἀθησαύριστος,a,aps---cn2-,ἀθησαύριστος ἀθησαύριστος ἀθησαύριστον,,,,,0
1868,α03207,ἀθλιοποιός,a,aps---cn2-,ἀθλιοποιός ἀθλιοποιός ἀθλιοποιόν,,,,,0
1878,α03217,ἀθλοσύνη,n,n-s---fn1e,ἀθλοσύνης,,,,,0
1887,α03228,ἄθρακτος,a,aps---cn2-,ἄθρακτος ἄθρακτος ἄθρακτον,,,,,0
1899,α03240,ἀθριπήδεστος,a,aps---cn2-,ἀθριπήδεστος ἀθριπήδεστος ἀθριπήδεστον,,,,,0
1913,α03254,ἀθυμία,n,n-s---fn1l,ἀθυμίας,,,/a.tʰyː.mí.aː/,,0
1920,α03261,ἀθυρογλωττία,n,n-s---fn1l,ἀθυρογλωττίας,,,,,0
1934,α03273,ἀθώπευτος,a,aps---cn2-,ἀθώπευτος ἀθώπευτος ἀθώπευτον,,,,,0
1967,α00040,αἰγείρινος,a,aps---cn2-,αἰγείρινος αἰγείρινος αἰγείρινον,,,,,0
1981,α00059,αἰγιαλοφύλαξ,n,----------,,,,,,0
1987,α00065,αἰγίβοτος,a,aps---cn2-,αἰγίβοτος αἰγίβοτος αἰγίβοτον,,,,,0
2006,α00082,αἰγινόμος,a,aps---cn2-,αἰγινόμος αἰγινόμος αἰγινόμον,,,,,0
2022,α00096,αἰγλήτης,n,n-s---mn1e,αἰγλήτου,,,,,0
2029,α00105,αἰγοθήλας,n,----------,,,,,,0
2035,α00111,αἰγόλεθρος,n,n-s---mn2-,αἰγολέθρου,,,,,0
2044,α00120,αἰγοπρόσωπος,a,aps---cn2-,αἰγοπρόσωπος αἰγοπρόσωπος αἰγοπρόσωπον,,,,,0
2065,α00132,αἰγωπόμματος,a,aps---cn2-,αἰγωπόμματος αἰγωπόμματος αἰγωπόμματον,,,,,0
2082,α03281,ἀί̈διος,a,aps---mn1-,ἀί̈διος ἀϊδίη ἀί̈διον,,,,,0
2093,,Ἁιδοφοίτης,n,n-s---mn1e,Ἁιδοφοίτου,,,,,0
