φ01352,φιλοπροσηγορία,n,n-s---fn1l,φιλοπροσηγορίας,φιλοπροσηγορία,0
107166,φ01547,φιλτροκίνητος,a,aps---cn2-,φιλτροκίνητος φιλτροκίνητος φιλτροκίνητον,φιλτροκίνητος,0
107167,φ01548,φίλτρον,n,n-s---nn2-,φίλτρου,φίλτρον,0
107168,φ01549,φιλτροποιός,a,aps---cn2-,φιλτροποιός φιλτροποιός φιλτροποιόν,φιλτροποιός,0
107169,φ01550,φιλτροπόσιμον,n,n-s---nn2-,φιλτροποσίμου,φιλτροπόσιμον,0
107170,φ01551,φιλτρόποτον,n,n-s---nn2-,φιλτροπότου,φιλτρόποτον,0
107171,φ01552,φίλυβρις,n,----------,,φίλυβρις,0
107172,φ01553,φιλυβριστής,n,n-s---mn1e,φιλυβριστού,φιλυβριστής,0
107175,φ01556,φιλυδρίας,n,n-s---mn1a,φιλυδρίου,φιλυδρίας,0
107176,φ01557,φίλυδρος,a,aps---cn2-,φίλυδρος φίλυδρος φίλυδρον,φίλυδρος,0
107177,φ01558,φιλύκη,n,n-s---fn1e,φιλύκης,φιλύκη,0
107179,φ01560,φιλυπήκοος,a,aps---cn2-,φιλυπήκοος φιλυπήκοος φιλυπήκοον,φιλυπήκοος,0
107180,φ01561,φίλυπνος,a,aps---cn2-,φίλυπνος φίλυπνος φίλυπνον,φίλυπνος,0
107182,φ01563,φιλυπόστροφος,a,aps---cn2-,φιλυπόστροφος φιλυπόστροφος φιλυπόστροφον,φιλυπόστροφος,0
107183,φ01564,φιλυποστροφώδης,a,aps---cn3s,φιλυποστροφώδης φιλυποστροφώδης φιλυποστροφώ͂δες,φιλυποστροφώδης,0
107184,φ01565,φιλύρα,n,n-s---fn1l,φιλύρας,φιλύρα,0
107185,φ01566,φιλυρέα,n,n-s---fn1l,φιλυρέας,φιλυρέα,0
107186,φ01567,φιλύρινος,a,aps---mn1-,φιλύρινος φιλυρίνη φιλύρινον,φιλύρινος,0
107187,φ01568,φιλύριον,n,n-s---nn2-,φιλυρίου,φιλύριον,0
107188,φ00826,φιλῳδία,n,n-s---fn1l,φιλῳδίας,φιλῳδία,0
107189,φ00827,φιλῳδός,a,aps---cn2-,φιλῳδός φιλῳδός φιλῳδόν,φιλῳδός,0
107190,φ01569,φίλων,a,aps---an--,,φίλων,0
107193,φ01572,φιλωνίζω,v,----------,,φιλωνίζω,0
107194,φ01573,φιλώραιος,a,aps---cn2-,φιλώραιος φιλώραιος φιλώραιον,φιλώραιος,0
107195,φ01574,φιλωρείτης,n,n-s---mn1e,φιλωρείτου,φιλωρείτης,0
107196,φ01575,φίλωσις,n,n-s---fn3v,φιλωσέως,φίλωσις,0
107198,φ01577,φιλωτικός,a,aps---mn1-,φιλωτικός φιλωτική φιλωτικόν,φιλωτικός,0
107199,φ01578,φιμάριον,n,n-s---nn2-,φιμαρίου,φιμάριον,0
107200,φ01579,φιμοκάτοχον,n,n-s---nn2-,φιμοκατόχου,φιμοκάτοχον,0
107201,φ01580,φιμός,n,n-s---mn2-,,φιμός,0
107202,φ01581,φιμόω,v,----------,,φιμόω,0
107204,φ01583,φίμωσις,n,n-s---fn3v,φιμωσέως,φίμωσις,0
107206,φ01585,φίμωτρον,n,n-s---nn2-,φιμώτρου,φίμωτρον,0
107207,φ01586,φιν,n,----------,,φιν,0
107208,φ01804,φῖμφιν,n,----------,,φῖμφιν,0
107209,φ01587,φίνις,n,----------,,φίνις,0
107210,φ01588,φίντατος,n,----------,,φίντατος,0
107211,φ01589,φίξ,n,----------,,φίξ,0
107212,φ01590,φίσκος,n,n-s---mn2-,φίσκου,φίσκος,0
107214,φ01592,φιτιαλεῖς,n,----------,,φιτιαλεῖς,0
107215,φ01593,φιτρός,n,n-s---mn2-,,φιτρός,0
107216,φ01594,φίττα,n,----------,,φίττα,0
107218,φ01596,φιττακίδες,n,n-p---fn1l,φιττακιδῶν,φιττακίδες,0
107219,φ02363,φῖτυ,n,----------,,φῖτυ,0
107220,φ01597,φίτυμα,n,n-s---nn3t,φιτύματος,φίτυμα,0
107221,φ01598,φιτυποίμην,n,----------,,φιτυποίμην,0
107222,φ02364,φῖτυς,n,n-s---mn3v,φίτυος,φῖτυς,0
107223,φ01599,φιτύω,v,----------,,φιτύω,0
107226,φ01604,φλαδιάω,v,----------,,φλαδιάω,0
107227,φ01605,φλάζω,v,----------,,φλάζω,0
107228,φ01607,φλαμέντας,n,----------,,φλαμέντας,0
107229,φ01608,φλανύσσω,v,----------,,φλανύσσω,0
107230,φ01610,φλάσις,n,n-s---fn3v,φλάσεως,φλάσις,0
107231,φ01611,φλάσκη,n,----------,,φλάσκη,0
107232,φ01612,φλάσμα,n,----------,,φλάσμα,0
107233,φ01613,φλασμός,n,----------,,φλασμός,0
107235,φ01615,φλαττόθρατ,n,----------,,φλαττόθρατ,0
107237,φ01609,φλαῦρος,a,aps---mn1-,φλαῦρος φλαῦρα φλαῦρον,φλαῦρος,0
107238,φ01617,φλαυρότης,n,n-s---fn3t,φλαυρότητος,φλαυρότης,0
107239,φ01618,φλαυρουργός,a,aps---cn2-,φλαυρουργός φλαυρουργός φλαυρουργόν,φλαυρουργός,0
107240,φ01619,φλάω,v,----------,,φλάω,0
107241,φ01620,φλεβάζω,v,----------,,φλεβάζω,0
107243,φ01622,φλέβιον,n,n-s---nn2-,φλεβίου,φλέβιον,0
107246,φ01625,φλεβονώδης,n,----------,,φλεβονώδης,0
107247,φ01626,φλεβοπαλία,n,n-s---fn1l,φλεβοπαλίας,φλεβοπαλία,0
107192,φ01571,φιλωνίδειον,n,n-s---nn2-,φιλωνιδείου,φιλωνίδειον,0
107250,φ01629,φλεβόσφυγμος,n,n-s---mn2-,φλεβοσφύγμου,φλεβόσφυγμος,0
107251,φ01630,φλεβοτμής,n,----------,,φλεβοτμής,0
107252,φ01631,φλεβοτομέω,v,----------,,φλεβοτομέω,0
107254,φ01633,φλεβοτομητέον,n,----------,,φλεβοτομητέον,0
107256,φ01635,φλεβοτομική,n,n-s---fn1e,φλεβοτομικῆς,φλεβοτομική,0
107257,φ01636,φλεβότομος,a,aps---cn2-,φλεβότομος φλεβότομος φλεβότομον,φλεβότομος,0
107258,φ01637,φλεβοτονέομαι,v,----------,,φλεβοτονέομαι,0
107259,φ01638,φλεβώδης,a,aps---cn3s,φλεβώδης φλεβώδης φλεβώ͂δες,φλεβώδης,0
107260,φ01639,φλεγέθω,v,----------,,φλεγέθω,0
107261,φ01640,φλεγιάω,v,----------,,φλεγιάω,0
107264,φ01643,φλεγμαίνω,v,----------,,φλεγμαίνω,0
107265,φ01644,φλέγμανσις,n,n-s---fn3v,φλεγμανσέως,φλέγμανσις,0
107266,φ01645,φλεγμασία,n,n-s---fn1l,φλεγμασίας,φλεγμασία,0
107269,φ01648,φλεγματικός,a,aps---mn1-,φλεγματικός φλεγματική φλεγματικόν,φλεγματικός,0
107270,φ01649,φλεγμάτιον,n,n-s---nn2-,φλεγματίου,φλεγμάτιον,0
107271,φ01650,φλεγματισμός,n,----------,,φλεγματισμός,0
107272,φ01651,φλεγματοειδής,a,aps---cn5s,φλεγματοειδής φλεγματοειδής φλεγματοειδές,φλεγματοειδής,0
107273,φ01652,φλεγματόεις,a,aps---mn4i,φλεγματόεις φλεγματόεσσα φλεγματόεν,φλεγματόεις,0
107274,φ01653,φλεγματόομαι,v,----------,,φλεγματόομαι,0
107276,φ01655,φλεγμονάομαι,v,----------,,φλεγμονάομαι,0
107277,φ01656,φλεγμονή,n,n-s---fn1e,φλεγμονῆς,φλεγμονή,0
107279,φ01658,φλεγμονώδης,a,aps---cn3s,φλεγμονώδης φλεγμονώδης φλεγμονώ͂δες,φλεγμονώδης,0
107280,φ01659,φλεγμός,n,----------,,φλεγμός,0
107281,φ01660,φλεγμώδης,a,aps---cn3s,φλεγμώδης φλεγμώδης φλεγμώ͂δες,φλεγμώδης,0
107282,φ01661,φλέγος,n,----------,,φλέγος,0
107283,φ01662,φλέγρα,n,n-s---fn1l,φλέγρας,φλέγρα,0
107284,φ01663,φλεγραῖα,n,n-p---nn2-,φλεγραίων,φλεγραῖα,0
107285,φ01664,φλεγύας,n,----------,,φλεγύας,0
