id,type,source,target
90799,/,92005,91792
90800,/,92308,92295
90801,/,92295,92308
90802,/,92674,92678
90803,/,92768,92835
90804,/,92937,92835
90805,/,93005,93009
90806,/,94208,94206
90807,/,97563,97569
90808,/,101793,97165
90809,/,7096,98303
90810,/,9065,98303
90811,/,9387,98303
90812,/,9672,98303
90813,/,9813,98303
90814,/,9952,98303
90815,/,11107,98303
90816,/,24483,98303
90817,/,31134,98303
90818,/,36075,98303
90819,/,36495,98303
90820,/,36577,98303
90821,/,39115,98303
90822,/,52744,98303
90823,/,75639,98303
90824,/,78649,98303
90825,/,86653,98303
90826,/,95927,98303
90827,/,96168,98303
90828,/,96801,98303
90829,/,103018,98303
90830,/,103501,98303
90831,/,104937,98303
90832,/,10414,99726
90833,/,8401,99726
90834,/,24514,99726
90835,/,31182,99726
90836,/,39219,99726
90837,/,86365,99726
90838,/,86714,99726
90839,/,96865,99726
90840,/,99931,98615
90841,/,98615,99931
90842,/,101496,101180
90843,/,101474,101180
90844,/,101224,101210
90845,/,7159,101241
90846,/,13378,101241
90847,/,18248,18627
90848,/,18248,19068
90849,/,18248,17942
90850,/,18646,18204
90851,/,19444,19446
90852,/,19932,5837
90853,/,19932,23081
90854,/,19932,51126
90855,/,19932,77493
90856,/,20291,20262
90857,/,20291,20267
90858,/,20291,20272
90859,/,20477,607
90860,/,20552,20581
90861,/,20587,20552
90862,/,20598,20511
90863,/,20598,20552
90864,/,21284,20581
90865,/,21284,20866
90866,/,20211,20208
90867,/,21170,5904
90868,/,21170,11654
90869,/,21170,16687
90870,/,21170,23121
90871,/,21170,36968
90872,/,21170,51191
90873,/,21170,63362
90874,/,21170,74802
90875,/,21170,83120
90876,/,21170,83171
90877,/,21170,93391
90878,/,21170,95046
90879,/,23334,23335
90880,/,23334,23337
90881,/,26359,22535
90882,/,26513,6592
90883,/,26513,8886
90884,/,26513,9302
90885,/,26513,9537
90886,/,26513,9642
90887,/,26513,11094
90888,/,26513,11813
90889,/,26513,23202
90890,/,26513,34735
90891,/,26513,29550
90892,/,26513,30119
90893,/,26513,33367
90894,/,26513,35987
90895,/,26513,37198
90896,/,26513,51312
90897,/,26513,59836
90898,/,26513,63590
90899,/,26513,74305
90900,/,26513,76402
90901,/,26513,77592
90902,/,26513,83299
90903,/,26513,83383
90904,/,26513,85126
90905,/,26513,95635
90906,/,26513,95911
90907,/,26513,103955
90908,/,27428,24915
90909,/,27428,24928
90910,/,27428,29554
90911,/,27428,30146
90912,/,27428,33394
90913,/,27428,75582
90914,/,22527,1107
90915,/,22527,22524
90916,/,22715,22701
90917,/,22715,22702
90918,/,22274,5954
90919,/,22274,9020
90920,/,22274,9246
90921,/,106274,106276
90922,/,7705,106292
90923,/,4030,106292
90924,/,4126,106292
